US_140EVT,CLASSNAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3538,Introduced Wetland Vegetation-Herbaceous,He Introduced Wetland Vegetation-Herbaceous,Herb,Exotic Herbaceous,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3539,Modified/Managed Northern Tallgrass Grassland,Sh Modified/Managed Northern Tallgrass Grassland,Herb,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3540,Modified/Managed Southern Tallgrass Grassland,Sh Modified/Managed Southern Tallgrass Grassland,Herb,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3546,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,Tr East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,Tree,Conifer-Hardwood,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3550,Pinus taeda Forest Alliance,Tr Pinus taeda Forest Alliance,Tree,Conifer,Loblolly Pine Forest and Woodland,SAF 81: Loblolly Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3551,Pinus elliottii Saturated Temperate Woodland Alliance,Tr Pinus elliottii Saturated Temperate Woodland Alliance,Tree,Conifer-Hardwood,Pine Flatwoods,SAF 84: Slash Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3552,Pinus palustris-Pinus elliottii Forest Alliance,Tr Pinus palustris-Pinus elliottii Forest Alliance,Tree,Conifer,Longleaf Pine Woodland,SAF 70: Longleaf Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3553,Mixed Loblolly-Slash Pine,Tr Mixed Loblolly-Slash Pine,Tree,Conifer,Loblolly Pine-Slash Pine Forest and Woodland,SAF 83: Longleaf Pine-Slash Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3554,Acadian Low-Elevation Hardwood Forest,Tr Acadian Low-Elevation Hardwood Forest,Tree,Conifer-Hardwood,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3555,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Tr Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Tree,Conifer-Hardwood,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3556,Central Appalachian Rocky Oak Woodland,Tr Central Appalachian Rocky Oak Woodland,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3557,Central Appalachian Rocky Pine-Oak Woodland,Tr Central Appalachian Rocky Pine-Oak Woodland,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3558,Edwards Plateau Limestone Grassland,Tr Edwards Plateau Limestone Savanna and Woodland,Herb,Hardwood,Post Oak Woodland and Savanna,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3559,Edwards Plateau Limestone Shrubland,Tr Edwards Plateau Limestone Savanna and Woodland,Shrub,Hardwood,Post Oak Woodland and Savanna,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
